Date,RGDPRU
2011-01-01,26470
2011-04-01,28625
2011-07-01,30177
2011-10-01,32312
2012-01-01,27980
2012-04-01,30014
2012-07-01,31231
2012-10-01,33092
2013-01-01,28296
2013-04-01,30530
2013-07-01,31702
2013-10-01,33934
2014-01-01,28283
2014-04-01,30700
2014-07-01,32148
2014-10-01,34249
2015-01-01,27851
2015-04-01,29752
2015-07-01,31601
2015-10-01,33702
2016-01-01,27794
2016-04-01,29847
2016-07-01,31620
2016-10-01,33883
2017-01-01,28158
2017-04-01,30546
2017-07-01,32454
2017-10-01,34236
2018-01-01,28879
2018-04-01,31380
2018-07-01,33308
2018-10-01,35344
2019-01-01,29280
2019-04-01,31806
2019-07-01,34230
2019-10-01,36429
2020-01-01,29724
2020-04-01,29479
2020-07-01,33091
2020-10-01,35955
2021-01-01,29982
2021-04-01,32830
2021-07-01,34819
2021-10-01,38143
2022-01-01,31104
2022-04-01,31679
2022-07-01,33858
2022-10-01,37440
2023-01-01,30616
2023-04-01,33292
2023-07-01,35797
2023-10-01,39269
2024-01-01,32257
2024-04-01,34668
