date,item_cnt_day
2013-01-06,63.0
2013-01-13,55.0
2013-01-20,52.0
2013-01-27,89.0
2013-02-03,74.0
2013-02-10,95.0
2013-02-17,85.0
2013-02-24,72.0
2013-03-03,67.0
2013-03-10,75.0
2013-03-17,65.0
2013-03-24,106.0
2013-03-31,99.0
2013-04-07,65.0
2013-04-14,92.0
2013-04-21,72.0
2013-04-28,66.0
2013-05-05,66.0
2013-05-12,94.0
2013-05-19,73.0
2013-05-26,75.0
2013-06-02,77.0
2013-06-09,68.0
2013-06-16,55.0
2013-06-23,67.0
2013-06-30,52.0
2013-07-07,80.0
2013-07-14,89.0
2013-07-21,81.0
2013-07-28,81.0
2013-08-04,63.0
2013-08-11,66.0
2013-08-18,49.0
2013-08-25,59.0
2013-09-01,87.0
2013-09-08,65.0
2013-09-15,74.0
2013-09-22,79.0
2013-09-29,76.0
2013-10-06,76.0
2013-10-13,93.0
2013-10-20,77.0
2013-10-27,87.0
2013-11-03,107.0
2013-11-10,110.0
2013-11-17,110.0
2013-11-24,109.0
2013-12-01,83.0
2013-12-08,138.0
2013-12-15,108.0
2013-12-22,132.0
2013-12-29,219.0
2014-01-05,166.0
2014-01-12,107.0
2014-01-19,86.0
2014-01-26,107.0
2014-02-02,106.0
2014-02-09,72.0
2014-02-16,114.0
2014-02-23,113.0
2014-03-02,74.0
2014-03-09,86.0
2014-03-16,70.0
2014-03-23,78.0
2014-03-30,61.0
2014-04-06,65.0
2014-04-13,95.0
2014-04-20,93.0
2014-04-27,90.0
2014-05-04,86.0
2014-05-11,75.0
2014-05-18,62.0
2014-05-25,57.0
2014-06-01,79.0
2014-06-08,109.0
2014-06-15,66.0
2014-06-22,90.0
2014-06-29,84.0
2014-07-06,74.0
2014-07-13,90.0
2014-07-20,86.0
2014-07-27,63.0
2014-08-03,90.0
2014-08-10,72.0
2014-08-17,81.0
2014-08-24,81.0
2014-08-31,102.0
2014-09-07,106.0
2014-09-14,84.0
2014-09-21,110.0
2014-09-28,109.0
2014-10-05,110.0
2014-10-12,93.0
2014-10-19,114.0
2014-10-26,69.0
2014-11-02,95.0
2014-11-09,86.0
2014-11-16,232.0
2014-11-23,117.0
2014-11-30,97.0
2014-12-07,115.0
2014-12-14,147.0
2014-12-21,208.0
2014-12-28,217.0
2015-01-04,192.0
2015-01-11,127.0
2015-01-18,130.0
2015-01-25,107.0
2015-02-01,103.0
2015-02-08,121.0
2015-02-15,125.0
2015-02-22,127.0
2015-03-01,117.0
2015-03-08,133.0
2015-03-15,82.0
2015-03-22,124.0
2015-03-29,120.0
2015-04-05,125.0
2015-04-12,104.0
2015-04-19,86.0
2015-04-26,70.0
2015-05-03,52.0
2015-05-10,51.0
2015-05-17,83.0
2015-05-24,62.0
2015-05-31,77.0
2015-06-07,89.0
2015-06-14,71.0
2015-06-21,91.0
2015-06-28,91.0
2015-07-05,112.0
2015-07-12,74.0
2015-07-19,79.0
2015-07-26,77.0
2015-08-02,73.0
2015-08-09,72.0
2015-08-16,52.0
2015-08-23,65.0
2015-08-30,70.0
2015-09-06,84.0
2015-09-13,90.0
2015-09-20,79.0
2015-09-27,108.0
2015-10-04,90.0
2015-10-11,87.0
2015-10-18,108.0
2015-10-25,102.0
2015-11-01,93.0
